model: meta-llama/Llama-2-7b-hf
fewshot: 1
Full
|                 Tasks                 |Version|Filter|n-shot|Metric|Value |   |Stderr|
|---------------------------------------|-------|------|-----:|------|-----:|---|-----:|
|mmlu                                   |N/A    |none  |     0|acc   |0.4180|±  |0.0929|
| - humanities                          |N/A    |none  |     0|acc   |0.3970|±  |0.0950|
|  - formal_logic                       |Yaml   |none  |     0|acc   |0.3095|±  |0.0413|
|  - high_school_european_history       |Yaml   |none  |     0|acc   |0.5939|±  |0.0383|
|  - high_school_us_history             |Yaml   |none  |     0|acc   |0.5490|±  |0.0349|
|  - high_school_world_history          |Yaml   |none  |     0|acc   |0.5949|±  |0.0320|
|  - international_law                  |Yaml   |none  |     0|acc   |0.5868|±  |0.0450|
|  - jurisprudence                      |Yaml   |none  |     0|acc   |0.5185|±  |0.0483|
|  - logical_fallacies                  |Yaml   |none  |     0|acc   |0.4969|±  |0.0393|
|  - moral_disputes                     |Yaml   |none  |     0|acc   |0.4046|±  |0.0264|
|  - moral_scenarios                    |Yaml   |none  |     0|acc   |0.2391|±  |0.0143|
|  - philosophy                         |Yaml   |none  |     0|acc   |0.5113|±  |0.0284|
|  - prehistory                         |Yaml   |none  |     0|acc   |0.4475|±  |0.0277|
|  - professional_law                   |Yaml   |none  |     0|acc   |0.3357|±  |0.0121|
|  - world_religions                    |Yaml   |none  |     0|acc   |0.5673|±  |0.0380|
| - other                               |N/A    |none  |     0|acc   |0.4718|±  |0.0761|
|  - business_ethics                    |Yaml   |none  |     0|acc   |0.4600|±  |0.0501|
|  - clinical_knowledge                 |Yaml   |none  |     0|acc   |0.4340|±  |0.0305|
|  - college_medicine                   |Yaml   |none  |     0|acc   |0.4277|±  |0.0377|
|  - global_facts                       |Yaml   |none  |     0|acc   |0.2500|±  |0.0435|
|  - human_aging                        |Yaml   |none  |     0|acc   |0.4529|±  |0.0334|
|  - management                         |Yaml   |none  |     0|acc   |0.4563|±  |0.0493|
|  - marketing                          |Yaml   |none  |     0|acc   |0.6111|±  |0.0319|
|  - medical_genetics                   |Yaml   |none  |     0|acc   |0.4700|±  |0.0502|
|  - miscellaneous                      |Yaml   |none  |     0|acc   |0.5530|±  |0.0178|
|  - nutrition                          |Yaml   |none  |     0|acc   |0.4804|±  |0.0286|
|  - professional_accounting            |Yaml   |none  |     0|acc   |0.3511|±  |0.0285|
|  - professional_medicine              |Yaml   |none  |     0|acc   |0.4301|±  |0.0301|
|  - virology                           |Yaml   |none  |     0|acc   |0.4337|±  |0.0386|
| - social_sciences                     |N/A    |none  |     0|acc   |0.4722|±  |0.0852|
|  - econometrics                       |Yaml   |none  |     0|acc   |0.2719|±  |0.0419|
