model: meta-llama/Llama-2-7b-hf
fewshot: 1
=================0.3=================
Local
|                 Tasks                 |Version|Filter|n-shot|Metric|Value |   |Stderr|
|---------------------------------------|-------|------|-----:|------|-----:|---|-----:|
|mmlu                                   |N/A    |none  |     0|acc   |0.2520|±  |0.0396|
| - humanities                          |N/A    |none  |     0|acc   |0.2538|±  |0.0303|
|  - formal_logic                       |Yaml   |none  |     0|acc   |0.2222|±  |0.0372|
|  - high_school_european_history       |Yaml   |none  |     0|acc   |0.3152|±  |0.0363|
|  - high_school_us_history             |Yaml   |none  |     0|acc   |0.2745|±  |0.0313|
|  - high_school_world_history          |Yaml   |none  |     0|acc   |0.3165|±  |0.0303|
|  - international_law                  |Yaml   |none  |     0|acc   |0.2066|±  |0.0370|
|  - jurisprudence                      |Yaml   |none  |     0|acc   |0.2407|±  |0.0413|
|  - logical_fallacies                  |Yaml   |none  |     0|acc   |0.2086|±  |0.0319|
|  - moral_disputes                     |Yaml   |none  |     0|acc   |0.2457|±  |0.0232|
|  - moral_scenarios                    |Yaml   |none  |     0|acc   |0.2358|±  |0.0142|
|  - philosophy                         |Yaml   |none  |     0|acc   |0.2765|±  |0.0254|
|  - prehistory                         |Yaml   |none  |     0|acc   |0.2500|±  |0.0241|
|  - professional_law                   |Yaml   |none  |     0|acc   |0.2542|±  |0.0111|
|  - world_religions                    |Yaml   |none  |     0|acc   |0.2632|±  |0.0338|
| - other                               |N/A    |none  |     0|acc   |0.2440|±  |0.0439|
|  - business_ethics                    |Yaml   |none  |     0|acc   |0.2800|±  |0.0451|
|  - clinical_knowledge                 |Yaml   |none  |     0|acc   |0.3019|±  |0.0283|
|  - college_medicine                   |Yaml   |none  |     0|acc   |0.3295|±  |0.0358|
|  - global_facts                       |Yaml   |none  |     0|acc   |0.3000|±  |0.0461|
|  - human_aging                        |Yaml   |none  |     0|acc   |0.1794|±  |0.0257|
|  - management                         |Yaml   |none  |     0|acc   |0.2427|±  |0.0425|
|  - marketing                          |Yaml   |none  |     0|acc   |0.2436|±  |0.0281|
|  - medical_genetics                   |Yaml   |none  |     0|acc   |0.2200|±  |0.0416|
|  - miscellaneous                      |Yaml   |none  |     0|acc   |0.2529|±  |0.0155|
|  - nutrition                          |Yaml   |none  |     0|acc   |0.2288|±  |0.0241|
|  - professional_accounting            |Yaml   |none  |     0|acc   |0.2199|±  |0.0247|
|  - professional_medicine              |Yaml   |none  |     0|acc   |0.1875|±  |0.0237|
|  - virology                           |Yaml   |none  |     0|acc   |0.2289|±  |0.0327|
| - social_sciences                     |N/A    |none  |     0|acc   |0.2658|±  |0.0335|
|  - econometrics                       |Yaml   |none  |     0|acc   |0.2368|±  |0.0400|
|  - high_school_geography              |Yaml   |none  |     0|acc   |0.2879|±  |0.0323|
|  - high_school_government_and_politics|Yaml   |none  |     0|acc   |0.2591|±  |0.0316|
|  - high_school_macroeconomics         |Yaml   |none  |     0|acc   |0.2821|±  |0.0228|
|  - high_school_microeconomics         |Yaml   |none  |     0|acc   |0.2479|±  |0.0280|
|  - high_school_psychology             |Yaml   |none  |     0|acc   |0.2349|±  |0.0182|
|  - human_sexuality                    |Yaml   |none  |     0|acc   |0.2901|±  |0.0398|
|  - professional_psychology            |Yaml   |none  |     0|acc   |0.2876|±  |0.0183|
|  - public_relations                   |Yaml   |none  |     0|acc   |0.2455|±  |0.0412|
|  - security_studies                   |Yaml   |none  |     0|acc   |0.2408|±  |0.0274|
|  - sociology                          |Yaml   |none  |     0|acc   |0.2786|±  |0.0317|
|  - us_foreign_policy                  |Yaml   |none  |     0|acc   |0.3100|±  |0.0465|
| - stem                                |N/A    |none  |     0|acc   |0.2439|±  |0.0496|
|  - abstract_algebra                   |Yaml   |none  |     0|acc   |0.1900|±  |0.0394|
|  - anatomy                            |Yaml   |none  |     0|acc   |0.2370|±  |0.0367|
|  - astronomy                          |Yaml   |none  |     0|acc   |0.2829|±  |0.0367|
|  - college_biology                    |Yaml   |none  |     0|acc   |0.2431|±  |0.0359|
|  - college_chemistry                  |Yaml   |none  |     0|acc   |0.1800|±  |0.0386|
|  - college_computer_science           |Yaml   |none  |     0|acc   |0.3200|±  |0.0469|
|  - college_mathematics                |Yaml   |none  |     0|acc   |0.3500|±  |0.0479|
|  - college_physics                    |Yaml   |none  |     0|acc   |0.2353|±  |0.0422|
|  - computer_security                  |Yaml   |none  |     0|acc   |0.3300|±  |0.0473|
|  - conceptual_physics                 |Yaml   |none  |     0|acc   |0.2426|±  |0.0280|
|  - electrical_engineering             |Yaml   |none  |     0|acc   |0.2828|±  |0.0375|
|  - elementary_mathematics             |Yaml   |none  |     0|acc   |0.2116|±  |0.0210|
|  - high_school_biology                |Yaml   |none  |     0|acc   |0.2226|±  |0.0237|
|  - high_school_chemistry              |Yaml   |none  |     0|acc   |0.2365|±  |0.0299|
|  - high_school_computer_science       |Yaml   |none  |     0|acc   |0.3000|±  |0.0461|
|  - high_school_mathematics            |Yaml   |none  |     0|acc   |0.2370|±  |0.0259|
|  - high_school_physics                |Yaml   |none  |     0|acc   |0.2185|±  |0.0337|
|  - high_school_statistics             |Yaml   |none  |     0|acc   |0.2593|±  |0.0299|
|  - machine_learning                   |Yaml   |none  |     0|acc   |0.1786|±  |0.0364|

|      Groups      |Version|Filter|n-shot|Metric|Value |   |Stderr|
|------------------|-------|------|-----:|------|-----:|---|-----:|
|mmlu              |N/A    |none  |     0|acc   |0.2520|±  |0.0396|
| - humanities     |N/A    |none  |     0|acc   |0.2538|±  |0.0303|
| - other          |N/A    |none  |     0|acc   |0.2440|±  |0.0439|
| - social_sciences|N/A    |none  |     0|acc   |0.2658|±  |0.0335|
| - stem           |N/A    |none  |     0|acc   |0.2439|±  |0.0496|

==============================================
H2O
|                 Tasks                 |Version|Filter|n-shot|Metric|Value |   |Stderr|
|---------------------------------------|-------|------|-----:|------|-----:|---|-----:|
|mmlu                                   |N/A    |none  |     0|acc   |0.2777|±  |0.0580|
| - humanities                          |N/A    |none  |     0|acc   |0.2956|±  |0.0646|
|  - formal_logic                       |Yaml   |none  |     0|acc   |0.3730|±  |0.0433|
|  - high_school_european_history       |Yaml   |none  |     0|acc   |0.4909|±  |0.0390|
|  - high_school_us_history             |Yaml   |none  |     0|acc   |0.4657|±  |0.0350|
|  - high_school_world_history          |Yaml   |none  |     0|acc   |0.4557|±  |0.0324|
|  - international_law                  |Yaml   |none  |     0|acc   |0.2066|±  |0.0370|
